"","gene_name","fc","qval","pval","logfc","abs_fc"
"1","MCOLN1",0.157301957627463,0.0841191373123366,5.15877908620066e-05,-2.66839146964006,2.66839146964006
"2","CFP",8.43676532493236,0.0841191373123366,5.36941049402717e-05,3.07668997237242,3.07668997237242
"3","OIT3",10.9517820343094,0.0841191373123366,5.02180539185826e-05,3.45309373392688,3.45309373392688
"4","SDF2",0.0795139288814721,0.0841191373123366,4.75255998652058e-05,-3.65264858260998,3.65264858260998
"5","CLEC4G",5.80127818225979,0.0824291835745626,4.30489556183522e-05,2.53637080093805,2.53637080093805
"6","CKS1B",0.0789358745514132,0.0824291835745626,4.23311112205393e-05,-3.66317506856428,3.66317506856428
"7","MARCO",4.56046828327779,0.0752744947121776,3.49443484998213e-05,2.18918197247676,2.18918197247676
"8","MARCO",3.0220751264649,0.0730566520306255,3.17950960500024e-05,1.5955395252384,1.5955395252384
"9","INHBC",4.35159015125853,0.0730566520306255,3.0493878570681e-05,2.12154268466942,2.12154268466942
"10","UBE2H",3.65742063166128,0.0647579711195061,2.40801164779203e-05,1.87082655730947,1.87082655730947
"11","SFRP5",5.51485090448965,0.0647579711195061,2.44256259662734e-05,2.46332188268683,2.46332188268683
"12","OLFML3",6.31518812064771,0.0592213704467095,1.89008029627402e-05,2.65882571052639,2.65882571052639
"13","RBP7",0.196166736191226,0.0539739436117927,1.56600544338747e-05,-2.34984766903102,2.34984766903102
"14","RDH16",4.85370535173006,0.0417814247366511,1.09102542398265e-05,2.27908653113012,2.27908653113012
"15","MYD88",3.13305261641351,0.0397192280656832,9.21934151121295e-06,1.64756899849972,1.64756899849972
"16","FCN2",3.36113057206382,0.0397192280656832,8.14227496115372e-06,1.74894658906363,1.74894658906363
"17","FCN3",15.0903927565502,0.0392758950277639,6.83732867656772e-06,3.91555845015908,3.91555845015908
"18","COLEC10",7.12932021035177,0.0086218293057474,1.00061850005773e-06,2.83376452044059,2.83376452044059
"19","GDF2",5.73750592725657,0.00138341938296138,8.02773389985134e-08,2.52042373893503,2.52042373893503
"20","WRNIP1",11.710139474084,8.16765288735866e-06,2.3697710460624e-10,3.54968635410574,3.54968635410574
