"","gene_name","fc","qval","pval","logfc","abs_fc"
"1","SUMF2",4.31758080171263,0.099812100762,0.000645968091919524,2.11022317743904,2.11022317743904
"2","RETSAT",3.74734527938804,0.0997194291584926,0.000643364086503118,1.90586891332521,1.90586891332521
"3","CCR1",2.90931858889877,0.0987930964613846,0.000635401995169094,1.54068128937648,1.54068128937648
"4","C1S",3.33623257556065,0.0987930964613846,0.000634959065519358,1.73821986549489,1.73821986549489
"5","C4BPB",0.171646486284041,0.0987930964613846,0.000633617923338714,-2.542487770202,2.542487770202
"6","HSPA8",6.34231038751607,0.0967460798535238,0.000616402848284903,2.66500848349231,2.66500848349231
"7","ADAMTSL2",3.42628744608502,0.0939168633482722,0.000596489303735459,1.77664619043112,1.77664619043112
"8","KLF11",6.20058120390702,0.0936502770962741,0.000592913882005996,2.63240345109553,2.63240345109553
"9","NDUFS4",0.351480766831066,0.0930180893952881,0.000587041847291081,-1.5084823482826,1.5084823482826
"10","NTHL1",0.298508137182674,0.0927998235042558,0.000582117506315538,-1.74415783571526,1.74415783571526
"11","HADHA",6.5226740849187,0.0927998235042558,0.000583799187137357,2.70546354392542,2.70546354392542
"12","CNN2",3.30504413568771,0.0910573214106514,0.000569176889470446,1.7246695376672,1.7246695376672
"13","MAT1A",4.80018448240853,0.0909487403976343,0.000566670207888142,2.26308985307159,2.26308985307159
"14","CES2",4.64393812621932,0.0909112579845636,0.000564609452852638,2.21534875049995,2.21534875049995
"15","LINC01093",7.10104335286753,0.0908273446335719,0.000562262775799738,2.82803101467653,2.82803101467653
"16","FEZ1",3.17762490900122,0.0896428569495427,0.000553128534057756,1.66794883712787,1.66794883712787
"17","SOCS3",6.3145996055428,0.0883166724564985,0.000542050292799523,2.65869125888835,2.65869125888835
"18","CERS2",10.8332690179955,0.0883166724564985,0.000543170433968898,3.43739674728936,3.43739674728936
"19","EIF5A",3.61821462306675,0.0880839451153914,0.000538198322046046,1.85527798740926,1.85527798740926
"20","DDX27",2.98811900817565,0.0870866749007061,0.000528945624637234,1.57923760766054,1.57923760766054
"21","PC",5.16448049769446,0.0870866749007061,0.000530354594503235,2.36862323367998,2.36862323367998
"22","AKAP1",3.35672621148968,0.0865977621887367,0.000521660872186525,1.74705486964365,1.74705486964365
"23","PROS1",6.34287944131513,0.0865977621887367,0.000522876198133515,2.66513792122333,2.66513792122333
"24","F5",10.4690107361018,0.0865977621887367,0.000523896097174292,3.38805321685527,3.38805321685527
"25","SLC25A39",0.101305257622363,0.0865709439863275,0.000518513914618435,-3.30321904464884,3.30321904464884
"26","PRR13",4.23488712813581,0.0863859478992234,0.000515669625076765,2.08232351811739,2.08232351811739
"27","CD68",5.55241233532484,0.0863859478992234,0.000514242470476711,2.47311470985411,2.47311470985411
"28","CXCL12",2.81579266800086,0.0859399720485733,0.000509552835034954,1.49354110959347,1.49354110959347
"29","TRMT1L",0.371099652848238,0.0857859474560053,0.000506915394783647,-1.43012144344599,1.43012144344599
"30","ARV1",0.289068927929841,0.0816334640864195,0.000479694080741666,-1.7905145532834,1.7905145532834
"31","B2M",21.7344828792453,0.0816334640864195,0.000480737327196223,4.44191386538611,4.44191386538611
"32","TMEM27",4.09817727544515,0.0811222428486561,0.000473333845518287,2.03498239256632,2.03498239256632
"33","TNKS1BP1",0.191106731630006,0.0811222428486561,0.000474465825239356,-2.3875494975339,2.3875494975339
"34","GOT1",6.7485424154873,0.0795598828447316,0.00046212980146576,2.75457593519696,2.75457593519696
"35","FMO5",5.58643418718404,0.0777997823772907,0.000450342431254969,2.48192770669237,2.48192770669237
"36","TMEM9B",2.4976308520826,0.0773662094283603,0.000445486868008271,1.32056026348534,1.32056026348534
"37","SLC25A47",9.07078213204616,0.0773662094283603,0.000446277728543221,3.18122695311052,3.18122695311052
"38","KMO",3.83234914566632,0.0726602476542927,0.000416211170588765,1.93822900360421,1.93822900360421
"39","ASS1P12",5.13560665459245,0.0726602476542927,0.000413232019384924,2.36053470806763,2.36053470806763
"40","CXCL12",6.76167972462731,0.0726602476542927,0.000415374852288819,2.75738168280409,2.75738168280409
"41","SMIM14",8.31446290746934,0.0726602476542927,0.000414154245100384,3.05562307220083,3.05562307220083
"42","RGN",4.76446221168023,0.0724179135436327,0.000408439353701384,2.25231337922899,2.25231337922899
"43","MRPS7",5.43349385046233,0.0724179135436327,0.000409000958832673,2.44188017957568,2.44188017957568
"44","PEMT",6.4020834429213,0.0706163390934346,0.000394568120512417,2.67854148067984,2.67854148067984
"45","OLFML3",4.83959479967917,0.0699704128805995,0.000389552686576478,2.27488626135006,2.27488626135006
"46","SRD5A2",3.72061263594963,0.0693787307883124,0.000384864125448692,1.89554019500947,1.89554019500947
"47","JUP",6.04076960316639,0.0688862236634434,0.000380747507887746,2.5947323627857,2.5947323627857
"48","HERC5",3.29876487021541,0.0681503488342505,0.000373940692843799,1.72192594896577,1.72192594896577
"49","USP5",3.82013686218502,0.067536973935838,0.00036874538562448,1.93362432592034,1.93362432592034
"50","LY6E",4.36091200387637,0.067536973935838,0.000366645411487898,2.12462987946973,2.12462987946973
"51","DNASE1L3",4.55212475090247,0.067536973935838,0.000368830860303371,2.18654009521967,2.18654009521967
"52","SERPINA1",13.135414881276,0.067536973935838,0.00036921768924203,3.71538986351321,3.71538986351321
"53","ID1",4.24394838869171,0.0672670409443442,0.000361393466648652,2.08540711152335,2.08540711152335
"54","IGFBP3",9.40803661033116,0.0672670409443442,0.000362334022854127,3.23389367427296,3.23389367427296
"55","TBXAS1",3.32111932271652,0.0668636345461872,0.000357473304443578,1.73166955758885,1.73166955758885
"56","TOMM22",3.75320521150992,0.066621798508995,0.000354841351547286,1.90812317366051,1.90812317366051
"57","HLA-B",2.73748415696195,0.0651352596388318,0.000345614594698951,1.45285061522027,1.45285061522027
"58","CXCL14",4.36178002658487,0.0650786084800263,0.000344005990076113,2.12491701377568,2.12491701377568
"59","ALAS1",5.19361016385058,0.0650786084800263,0.000343488200398645,2.37673772834312,2.37673772834312
"60","DMD",3.59925862538297,0.0639274715056913,0.000335351329802336,1.84769977110174,1.84769977110174
"61","PLD3",3.91409865363558,0.0629330482750439,0.000328869890893424,1.96868011910144,1.96868011910144
"62","MRPL20",2.93383707893833,0.0622852789643584,0.000324232971253946,1.55278875787775,1.55278875787775
"63","IGKJ1",10.8070893210128,0.0621498117381756,0.000322278639475204,3.43390610847065,3.43390610847065
"64","LINC01093",3.49213181240919,0.0602015696224506,0.000310966020681147,1.80410801530185,1.80410801530185
"65","KIF12",2.50152420666071,0.0585520235335375,0.000300091771537003,1.32280741301836,1.32280741301836
"66","VTN",16.4254310250057,0.0575942466790067,0.00029402537798906,4.03785932415516,4.03785932415516
"67","UBL5",0.317396350450999,0.057405938635312,0.000291910247914418,-1.65564255529812,1.65564255529812
"68","RPL9",0.164812221037767,0.0550051185500187,0.000277490950598036,-2.60110487071043,2.60110487071043
"69","LDLR",3.99876244147878,0.0548109384002644,0.000275409707763519,1.99955357605162,1.99955357605162
"70","EPS15",4.80543181152941,0.0540933705502043,0.000270716912549762,2.26466607602741,2.26466607602741
"71","RPS20",0.168951164513046,0.0524866813181388,0.000261621115224875,-2.56532180042941,2.56532180042941
"72","SMU1",3.89827043971146,0.0516091879253841,0.000255704183382277,1.96283417999977,1.96283417999977
"73","CD4",4.21917251853162,0.0516091879253841,0.000255445509753427,2.0769600793898,2.0769600793898
"74","APOL1",4.73352159925628,0.0516091879253841,0.000256209941262409,2.24291390521559,2.24291390521559
"75","CFP",6.69954017976692,0.0508593896592769,0.000249420972723069,2.74406208017715,2.74406208017715
"76","MRC1",3.40352921103651,0.0501594320999031,0.000244980142305673,1.76703149181945,1.76703149181945
"77","CYP2C8",7.3120742268017,0.0498693026420333,0.000242560824041727,2.8702807156497,2.8702807156497
"78","PSMB4",0.229155008349447,0.0494896114824945,0.000239719346530554,-2.1256042776807,2.1256042776807
"79","ASS1",8.17866019176394,0.0494896114824945,0.000239107896893964,3.03186452372771,3.03186452372771
"80","PHGDH",11.8370182340644,0.0489085608003794,0.000234938819618336,3.56523380417384,3.56523380417384
"81","HLA-DRB1",9.0143012765894,0.0487013312457084,0.000232441837132225,3.17221566871069,3.17221566871069
