"","gene_name","fc.asian","qval.asian","pval.asian","logfc.asian","abs_fc.asian","fc.black","qval.black","pval.black","logfc.black","abs_fc.black","fc.white","qval.white","pval.white","logfc.white","abs_fc.white"
"1","CAP2",0.806923916818594,0.999398361058074,0.533918408132685,-0.309495443692976,0.309495443692976,0.432682300294955,0.882722001737077,0.213034722890575,-1.20861998914714,1.20861998914714,1.21882314198702,0.860547850598014,0.449799346298093,0.285488798075129,0.285488798075129
"2","CCL20",0.366187813203372,0.972245618005895,0.346443352526963,-1.44934431610498,1.44934431610498,0.48902816228047,0.97320033920444,0.641506667450775,-1.0320105450218,1.0320105450218,1.33755683898006,0.890619699463657,0.528846614373073,0.419600199605246,0.419600199605246
"3","CDH1",5.07290487823512,0.668016410162215,0.0732946412966904,2.34281210882602,2.34281210882602,10.2454607157785,0.747658782231523,0.0262088810400261,3.35691295551024,3.35691295551024,1.60338297195585,0.596935961978425,0.116062125299265,0.681119057901605,0.681119057901605
"4","CDKN2A",0.431077750604361,0.754943507125558,0.118435608906695,-1.21397999286993,1.21397999286993,0.695196362070186,0.972351778004099,0.546693044451173,-0.524507562270484,0.524507562270484,0.568712561511046,0.250946261593257,0.0124390610529266,-0.814228424535058,0.814228424535058
"5","CDKN2B",0.868935855206508,0.999398361058074,0.653632737137617,-0.202678413579661,0.202678413579661,0.782938084652184,0.972351778004099,0.495100170204327,-0.3530298722971,0.3530298722971,0.984609676816601,0.985166664356106,0.925177208807673,-0.022376176331523,0.022376176331523
"6","CENPF",0.612234073949009,0.995084860644299,0.398161944882958,-0.707844754450295,0.707844754450295,0.593636772392382,0.932328788594844,0.285540622448292,-0.752347633479549,0.752347633479549,0.668456575036598,0.565716799453414,0.100288214389739,-0.581094253363409,0.581094253363409
"7","CPN1",3.19924090588575,4.42705242464925e-09,1.77957648617166e-12,1.67772963285396,1.67772963285396,2.50825770510109,0.758677110973861,0.0806250482361339,1.32668558209982,1.32668558209982,1.63500142431186,0.143151541530021,0.00355605717452545,0.709291892510368,0.709291892510368
"8","CST2",0.923808533020804,0.999398361058074,0.905593412895872,-0.11433422277495,0.11433422277495,1.03158725376294,0.999083379576179,0.963315077354372,0.0448658524869513,0.0448658524869513,1.05426515177529,0.961037108260708,0.800934045742727,0.0762377560102079,0.0762377560102079
"9","DAPK1",3.52645019903676,0.845474909951329,0.187675028231509,1.81821666593922,1.81821666593922,1.16723930379399,0.982810004429597,0.811173129097683,0.22310036824678,0.22310036824678,1.67855006744506,0.491083404909744,0.0676882002990494,0.747215570087251,0.747215570087251
"10","DAPK3",1.99001579820112,0.640177164137208,0.0582406830536213,0.992779883982965,0.992779883982965,1.18678641011718,0.974061538900922,0.721752953986823,0.247060311734656,0.247060311734656,0.693802237019652,0.215423067002956,0.00869714635772834,-0.527403602588297,0.527403602588297
"11","ESM1",0.488949425489015,0.829168863012818,0.175031990063267,-1.03224284723452,1.03224284723452,0.425715113382979,0.939106132879711,0.307791402602299,-1.23203978650221,1.23203978650221,0.354825119147383,0.0494120541250882,0.000541692864146626,-1.49481994887131,1.49481994887131
"12","FASTKD5",1.87090762972332,0.700759407309824,0.0882702390477283,0.90373833173223,0.90373833173223,1.04639435415165,0.99046647056409,0.865142258931466,0.06542666187047,0.06542666187047,0.989164668673951,0.990775568243502,0.951917821146507,-0.0157173849201178,0.0157173849201178
"13","G3BP1",0.499819496472948,0.63207997410442,0.0558883494872948,-1.00052091711972,1.00052091711972,1.85618060543611,0.747658782231523,0.0424560063269479,0.892337090794426,0.892337090794426,1.34588375535865,0.517494184225047,0.0775173733198251,0.428553809049416,0.428553809049416
"14","G3BP2",3.00996273076989,0.583524050077592,0.0382096089703917,1.58974562370713,1.58974562370713,1.88309914040422,0.782519663536486,0.104300448938193,0.913108956194513,0.913108956194513,1.23988732253247,0.804534638311254,0.339381277371921,0.310209018507422,0.310209018507422
"15","GSTP1",3.52093702075835,0.380895292327689,0.00785461610982452,1.81595942184682,1.81595942184682,2.08210108049033,0.789447436137572,0.116169585892245,1.05804010935889,1.05804010935889,2.64326036787296,0.206658583998408,0.00797468737521045,1.40231854111198,1.40231854111198
"16","HDAC1",1.91879360230702,0.818112475817552,0.162763676765798,0.940199534387643,0.940199534387643,0.426538624908145,0.747658782231523,0.039964796281094,-1.22925170518357,1.22925170518357,0.716169042654019,0.611770610230514,0.128550350850626,-0.481627937266064,0.481627937266064
"17","IGF2",0.374185700746836,0.973673920753685,0.348441102356772,-1.41817366686931,1.41817366686931,15.711696524864,0.754980346617817,0.0592159297555488,3.97376706392564,3.97376706392564,0.632680274093189,0.755769982891657,0.261887237395432,-0.66045147913824,0.66045147913824
"18","IGF2R",2.25835677738253,0.544415497193196,0.0291170486399304,1.17527342247065,1.17527342247065,1.58946501261848,0.972351778004099,0.413877766287596,0.668541260151668,0.668541260151668,1.43346073170508,0.80302442175909,0.336475991105269,0.519502383859703,0.519502383859703
"19","MAGEA3",0.862598997839018,0.999398361058074,0.855297389156166,-0.213238054926146,0.213238054926146,0.373063667277385,0.959650800404978,0.363450958404687,-1.4225062321626,1.4225062321626,1.02403974914622,0.980511722406091,0.902970951130891,0.0342717161027051,0.0342717161027051
"20","MAGEA6",0.95613471265376,0.999398361058074,0.907772498511843,-0.0647141967800219,0.0647141967800219,0.569323230442307,0.97320033920444,0.59115334147425,-0.812680126793382,0.812680126793382,0.911486211597018,0.912128749397678,0.588840098856354,-0.133707262661421,0.133707262661421
