"","gene_name","logfc","qval","pval","race","exp"
"72","CEACAM1",2.31055304206378,0.00998391752735755,3.00998438136357e-05,"asian","up"
"73","RPRD1B",1.66682519031204,0.0107002350276643,3.24744842460367e-05,"asian","up"
"74","SLC37A4",2.24584267424484,0.010723103607531,3.27594112703444e-05,"asian","up"
"75","F9",1.90431473063307,0.0107802487884133,3.35762206623569e-05,"asian","up"
"76","RND3",3.71837247913002,0.0107802487884133,3.31696601345577e-05,"asian","up"
"77","TMEM123",3.4626512511952,0.0114198599881582,3.58061293193046e-05,"asian","up"
"78","HPX",7.39558569200003,0.0115941899544247,3.65857583881635e-05,"asian","up"
"79","MRPL9",1.8036875987104,0.0124827032123684,4.06439265265846e-05,"asian","up"
"80","GLOD4",2.88997322856639,0.0131222758687162,4.32538739090216e-05,"asian","up"
"81","AMOTL2",2.18629339786672,0.0136866147073379,4.53891431183573e-05,"asian","up"
"82","PRKAR1A",1.8645014975479,0.0137056837298891,4.57278510102022e-05,"asian","up"
"83","RND1",1.83248478590949,0.0145452183423695,4.94059150994985e-05,"asian","up"
"84","NR4A1",1.9826144670697,0.0146110103781508,4.99230567247988e-05,"asian","up"
"85","ADAMTSL2",1.98917148790731,0.014744107593707,5.06741648615971e-05,"asian","up"
"86","LDLR",1.6741939896061,0.0156355187427137,5.43663774267289e-05,"asian","up"
"87","FMO3",1.80891385571459,0.0168504475031846,5.89294904038695e-05,"asian","up"
"88","ITGA9",1.66537549164537,0.0175220530166504,6.19825809167196e-05,"asian","up"
"89","TLN1",2.01232139204663,0.0183131731457247,6.551724122561e-05,"asian","up"
"90","ZSCAN25",2.85328927900636,0.019542278716252,7.03072695704687e-05,"asian","up"
"91","PGM1",1.52972946117227,0.0198239984433558,7.17192531214383e-05,"asian","up"
"92","GANAB",1.74027088162473,0.0206965851231153,7.5292075155442e-05,"asian","up"
"93","ANPEP",4.74385509662716,0.0212311114199657,7.76633492469703e-05,"asian","up"
"94","TNFRSF1A",2.46956883418385,0.0214777657030702,7.98606474869956e-05,"asian","up"
"95","RAMP3",1.97512112144606,0.0266979923536014,0.000101417384628988,"asian","up"
"96","PLXNB2",4.00882478823118,0.0272084544458658,0.000104997050560884,"asian","up"
"97","OXT",2.67375658504356,0.0282890383405699,0.000109735587083049,"asian","up"
"98","SQSTM1",1.95631175285296,0.0286610788570174,0.000113327751296688,"asian","up"
"99","PRSS8",2.62660026390202,0.0286610788570174,0.000113482986992652,"asian","up"
"100","PROS1",1.57472976446843,0.0287102642151078,0.000114831824150952,"asian","up"
"101","CAT",2.39627194714077,0.0311248293357116,0.000128242754629193,"asian","up"
"102","SPIDR",1.57124338116954,0.0315761690004707,0.000130737042531193,"asian","up"
"103","HDLBP",3.21910794968805,0.0319676316567607,0.000133000356814517,"asian","up"
"104","UBTF",1.378735720726,0.0338981401923676,0.000142957747242267,"asian","up"
"105","ATF5",2.85809148723305,0.0338981401923676,0.000142969084399702,"asian","up"
"106","LAPTM5",3.52534338134672,0.0338981401923676,0.000143076123334751,"asian","up"
"107","ASS1P10",2.04378266793287,0.0341723381346925,0.000144920274679827,"asian","up"
"108","DOK4",2.23469654626973,0.0350962592028341,0.000150249290714388,"asian","up"
"109","YTHDF2",1.67014907346941,0.0351757255044661,0.000154250344780005,"asian","up"
"110","IFI6",2.18171576525387,0.0351757255044661,0.000153500236385606,"asian","up"
"111","ZNF410",2.04050921770206,0.0355108355247943,0.000157020215770687,"asian","up"
"112","STAP2",1.67277181285512,0.0365905195193873,0.00016252974260933,"asian","up"
"113","UBA1",1.677290052571,0.0367753847505262,0.000164090031246067,"asian","up"
"114","SRRT",1.92419654401149,0.0381247172011798,0.000172434031044277,"asian","up"
"115","PANK1",2.58345409435356,0.0381247172011798,0.000173175746421728,"asian","up"
"116","CNDP1",2.9936790463926,0.0386627869821251,0.00017717400474182,"asian","up"
"117","NRBP1",1.75219519462074,0.0396308642560657,0.000183203335990978,"asian","up"
"118","BCAS2",1.61082477765359,0.0437353739831148,0.000203056465612805,"asian","up"
"119","RHBDD2",1.88786967417411,0.0449628934687784,0.000209659349695634,"asian","up"
"120","FGB",3.40711979795225,0.0476974077375217,0.000226244889376837,"asian","up"
"121","HLA-DRB1",3.17221566871069,0.0487013312457084,0.000232441837132225,"asian","up"
"122","WRNIP1",3.54968635410574,8.16765288735866e-06,2.3697710460624e-10,"black","up"
"123","MYD88",1.64756899849972,0.0397192280656832,9.21934151121295e-06,"black","up"
"124","RDH16",2.27908653113012,0.0417814247366511,1.09102542398265e-05,"black","up"
"125","CLEC4G",1.59047093325173,3.40261152587118e-12,2.22044604925031e-16,"white","up"
"126","CXCL14",2.20606900325222,2.87131804047444e-09,4.37205827097387e-13,"white","up"
"127","GSTT1",2.38741634907944,1.10550546166608e-05,6.25231488804445e-09,"white","up"
"128","MT1H",3.82821894311291,1.40408534938796e-05,8.55181192527255e-09,"white","up"
"129","MT1G",2.17881253635568,1.83709443228798e-05,1.15887363039135e-08,"white","up"
"130","MT1F",4.04181676375299,4.07825332613611e-05,2.92748542074506e-08,"white","up"
"131","MT1HL1",1.79694456754099,6.15280248983385e-05,4.81816953001868e-08,"white","up"
"132","LINC01093",1.72261159767215,0.000133887973993851,1.19407616239187e-07,"white","up"
"133","LOC107984936",2.49451033929249,0.00020893081065088,2.26923596580164e-07,"white","up"
"134","MT1M",3.21787812962017,0.00020893081065088,2.26795201507812e-07,"white","up"
"135","DUSP2",1.74231812360774,0.000208940590825226,2.31792615768001e-07,"white","up"
"136","PTH1R",1.65309216233397,0.000238340843221909,2.74777357756051e-07,"white","up"
"137","FOSB",2.0036234534745,0.000249011197391476,2.92495533349424e-07,"white","up"
"138","ZFP36L1",1.35027385386992,0.000267477999303816,3.20005437259852e-07,"white","up"
"139","CCL3",1.32693137245847,0.000383557885778316,4.92254312645102e-07,"white","up"
"140","PLSCR4",1.44504615925831,0.000401936976568909,5.27235753278177e-07,"white","up"
"141","LOC105378356",1.73481410614444,0.000462898645917184,6.44425157458883e-07,"white","up"
"142","EGR1",1.66580623259505,0.000464220056377639,6.56362648232545e-07,"white","up"
"143","MT1B",1.63077699953416,0.000598885961188792,8.85848894127683e-07,"white","up"
"144","IGHV5-51",1.58727362865032,0.000934109402452523,1.57947154333371e-06,"white","up"
"145","IGHV5-51",1.58729678664963,0.000934109402452523,1.57916444543105e-06,"white","up"
"146","IGHA1",3.58811317659758,0.00114477102930325,2.06682318437679e-06,"white","up"
"147","CCL4",1.17167524224122,0.00122032986875322,2.26807578496135e-06,"white","up"
"148","ADRA1A",1.09602097969601,0.00134103660670382,2.59619459663796e-06,"white","up"
"149","JUN",2.20654958436875,0.00142717780924046,2.84068446942953e-06,"white","up"
"150","TACSTD2",1.45488462694944,0.00161226525320378,3.40184741931537e-06,"white","up"
"151","IGF1",1.15337380570243,0.00225383867594167,5.00068617736993e-06,"white","up"
"152","EPHA2",1.95165907787221,0.00226210426411346,5.06823151491531e-06,"white","up"
"153","AK3",1.40903462758338,0.00234661108995345,5.35965727932464e-06,"white","up"
"154","GNMT",1.7698483558707,0.00262697969409634,6.28573406313837e-06,"white","up"
"155","MASP1",1.3019459765678,0.00263574026350984,6.36402961040616e-06,"white","up"
"156","MT1L",1.67234082072124,0.00292744113810841,7.25938157453143e-06,"white","up"
"157","MT1JP",2.93211915704781,0.00292744113810841,7.25366406739703e-06,"white","up"
"158","CHST4",1.49185759987991,0.00294677168313778,7.37141615680947e-06,"white","up"
"159","IL1RAP",1.80632284953521,0.00311799825784903,7.93539102428298e-06,"white","up"
"160","TRIB1",1.0189115343337,0.00356154207376389,9.45158211518304e-06,"white","up"
"161","LOC107985462",1.70327814718318,0.00368148632351084,9.84996993369514e-06,"white","up"
"162","SFRP5",2.03705088623264,0.00379082263322334,1.03898819234782e-05,"white","up"
"163","GYS2",1.83855835119203,0.0041392742116222,1.18851517431073e-05,"white","up"
"164","CYR61",2.19155661906665,0.00417220703054365,1.20704675685701e-05,"white","up"
"165","JUNB",1.45059709762727,0.00451867532589077,1.36625743996088e-05,"white","up"
"166","SERPINE1",1.62842510944731,0.00452854368054371,1.398793184193e-05,"white","up"
"167","C5AR1",1.48923722669281,0.00464371183918213,1.4444679217851e-05,"white","up"
"168","CYP4A11",1.19164654367281,0.00467295630549663,1.46372946139284e-05,"white","up"
"169","LOC107987279",1.9227421531768,0.00515935721250996,1.62730965764801e-05,"white","up"
"170","IGKV3D-7",1.39614029312572,0.00527009885961769,1.69662975555429e-05,"white","up"
"171","TRPV4",1.03041660662577,0.00540003172158031,1.75020605263088e-05,"white","up"
"172","PTGIS",1.28306440167871,0.00543897430440182,1.7746588046208e-05,"white","up"
"173","LOC105376156",2.45630353725132,0.00564727078007522,1.8917595495771e-05,"white","up"
"174","ALB",9.80293228005118,0.00573395583290579,1.94574330012465e-05,"white","up"
"175","ATP6V1C1",1.00875130190313,0.0062266378202035,2.20773941680408e-05,"white","up"
"176","IGKV3D-15",2.73775829025215,0.00627513081429612,2.23858316702463e-05,"white","up"
"177","FAM180A",1.05990439792404,0.00650973610924473,2.40149914642052e-05,"white","up"
"178","EMILIN1",1.03099181269679,0.00652680797661207,2.44352742135856e-05,"white","up"
"179","RNA18S5",1.95731571397615,0.00652680797661207,2.48255797853369e-05,"white","up"
