"gene_name","fc","qval","pval","logfc","abs_fc"
"MET",1.01466743985808,0.999083379576179,0.97838089943471,0.0210069574754197,0.0210069574754197
"VEGFB",0.974599829361936,0.999083379576179,0.949675288132669,-0.0371181249517473,0.0371181249517473
"TIE1",0.973695507805177,0.999083379576179,0.939716016756461,-0.0384574088827927,0.0384574088827927
"FGFRL1",1.03750025493898,0.999083379576179,0.953449524424211,0.053111690964774,0.053111690964774
"MET",0.963529636077323,0.999083379576179,0.940714718714015,-0.053599053520242,0.053599053520242
"PDGFRB",1.11046023449233,0.991005052923617,0.867999203204844,0.151157730995744,0.151157730995744
"FLT1",0.904192699125034,0.989205508495896,0.857409602194081,-0.145297826178303,0.145297826178303
"FGFRL1",1.14262846676298,0.988726376500574,0.849680454522443,0.19235637792457,0.19235637792457
"RAF1",1.13175044503388,0.98249262910434,0.807476640103699,0.178555873891293,0.178555873891293
"PDCD6IP",0.860053852090211,0.981567520273065,0.802665452946018,-0.217501098199255,0.217501098199255
"PDCD6",1.04614719217599,0.981391610705597,0.801230103004804,0.0650858520462969,0.0650858520462969
"KDR",0.854975056419936,0.979396264369062,0.764818178288289,-0.226045764367416,0.226045764367416
"PDCD6",0.796053723875534,0.978560256725883,0.751352475079264,-0.329062296589093,0.329062296589093
"PDCD10",0.861688164923218,0.977925994085774,0.74658708411236,-0.214762225935829,0.214762225935829
"PDCD2L",0.864615836014641,0.974114724762199,0.725549793653506,-0.209868834491431,0.209868834491431
"PDCD6IP",0.87063384514472,0.974061538900922,0.702980392765639,-0.199861990137892,0.199861990137892
"PDCD11",0.867192703236086,0.974061538900922,0.683865307860803,-0.20557547732081,0.20557547732081
"PDCD7",0.858324694338283,0.974061538900922,0.721636288317514,-0.22040458900554,0.22040458900554
"TIE1",1.18727960422858,0.974061538900922,0.709378286685424,0.247659729530664,0.247659729530664
"PDCD5",0.814853291134984,0.974061538900922,0.687216985728901,-0.295387759720953,0.295387759720953
"MET",0.807096815706413,0.974061538900922,0.689580308193698,-0.309186351791045,0.309186351791045
"ARAF",0.80203685680657,0.974061538900922,0.686722535154397,-0.318259559067162,0.318259559067162
"FGFR4",1.41407389891704,0.974061538900922,0.708287115757251,0.499857516763508,0.499857516763508
"VEGFB",0.824905944872793,0.97320033920444,0.663271945640914,-0.277698461105993,0.277698461105993
"VEGFB",0.760703489103808,0.97320033920444,0.611522365435654,-0.394593872641853,0.394593872641853
"PDCD10",1.34771599771685,0.97320033920444,0.594454464525159,0.430516511465437,0.430516511465437
"PDCD5",0.705090639135017,0.97320033920444,0.588288978797527,-0.504119367552715,0.504119367552715
"RAF1",1.48592948797557,0.97320033920444,0.655749538184905,0.571365657086757,0.571365657086757
"KDR",0.653022292662116,0.97320033920444,0.590603018837299,-0.614795852022062,0.614795852022062
"FGFR4",0.650807475445387,0.97320033920444,0.631040283986834,-0.619697272386374,0.619697272386374
"VEGFB",0.72881156127625,0.972497510154636,0.577520235490748,-0.456382249820372,0.456382249820372
"RAF1",0.629675905053345,0.972497510154636,0.582200550795851,-0.667318632117891,0.667318632117891
"VEGFC",0.823167819732537,0.972351778004099,0.453356156810157,-0.280741511124563,0.280741511124563
"FGFR4",0.810201914031742,0.972351778004099,0.499862260326976,-0.303646601617097,0.303646601617097
"PDCD6",0.786211074340044,0.972351778004099,0.56803810526191,-0.347011409600376,0.347011409600376
"PDCD6",0.75938411591883,0.972351778004099,0.400507420536995,-0.397098272549794,0.397098272549794
"ARAF",0.755868538262571,0.972351778004099,0.465263232103765,-0.403792754209002,0.403792754209002
"FLT1",0.704918093144146,0.972351778004099,0.492069368389089,-0.504472459332785,0.504472459332785
"PDCD5",0.683463210809901,0.972351778004099,0.428031102279749,-0.54906441178983,0.54906441178983
"RAF1",0.682742021304288,0.972351778004099,0.491994290590474,-0.550587545496941,0.550587545496941
"MET",1.47498610503315,0.972351778004099,0.559823279597117,0.560701363766554,0.560701363766554
"KDR",1.56972999492703,0.972351778004099,0.508422051834595,0.650516426327536,0.650516426327536
"PDCD5",0.593294269678752,0.972351778004099,0.420984346076052,-0.753180246264362,0.753180246264362
"RAF1",2.07804500019683,0.972351778004099,0.438136095526223,1.0552268962334,1.0552268962334
"PDGFRB",1.65153842489563,0.95856737558194,0.360766336578589,0.723810535933752,0.723810535933752
"PDCD6",0.771627224573451,0.948956604279816,0.333664377839638,-0.374024049395346,0.374024049395346
"PDCD4",1.63050308116652,0.926295092877732,0.27509922808988,0.705317167354062,0.705317167354062
"PDCD6IP",2.0189453431152,0.925034628915045,0.274321909770228,1.01360185456042,1.01360185456042
"PDCD7",1.62873884356188,0.911647041694888,0.248632799112705,0.70375529674087,0.70375529674087
"FGFRL1",0.337399081503831,0.911170174424829,0.248241395515846,-1.56747204868237,1.56747204868237
"FGFR4",0.422269453996844,0.908715641111634,0.245056072528621,-1.24376420522185,1.24376420522185
"RAF1",1.5631996261807,0.896599036971993,0.232602484441168,0.644502027416815,0.644502027416815
"ARAF",0.638878779053918,0.888131619629336,0.223487518755012,-0.646385874901405,0.646385874901405
"FGFR2",1.88418111595735,0.863892492299133,0.192082737124602,0.913937649947863,0.913937649947863
"PDCD6IP",2.45010767859625,0.86155622323329,0.188711130080293,1.29284515492708,1.29284515492708
"MET",1.61307745248812,0.860211592843845,0.187661201375062,0.68981571167263,0.68981571167263
"FGFR1OP2",0.473775593350734,0.832425397622865,0.160224861829922,-1.07772421513321,1.07772421513321
"TIE1",0.433512220205209,0.808472181891509,0.133221006471405,-1.20585543297205,1.20585543297205
