"","gene_name","fc.asian","qval.asian","pval.asian","logfc.asian","abs_fc.asian","fc.black","qval.black","pval.black","logfc.black","abs_fc.black","fc.white","qval.white","pval.white","logfc.white","abs_fc.white"
"1","ARAF",2.83015439567912,0.393205740053,0.00881750933075476,1.50088075970192,1.50088075970192,4.52159188398443,0.743769157007625,0.0202458401761161,2.17683078122639,2.17683078122639,0.615484924754528,0.497379014972263,0.0700468724725202,-0.700204574080526,0.700204574080526
"2","FGFR1OP2",0.437987304138062,0.46904979523315,0.0171649548701212,-1.19103904360548,1.19103904360548,0.473775593350734,0.832425397622865,0.160224861829922,-1.07772421513321,1.07772421513321,0.66764234686105,0.286031668829346,0.0170368060654114,-0.582852630796667,0.582852630796667
"3","FGFR2",1.63889479886268,0.999398361058074,0.496835644909713,0.712723250392109,0.712723250392109,9.63964218913932,0.314874410946489,0.00052987627908363,3.2689795965035,3.2689795965035,1.82175366965208,0.145906405810464,0.003737403963469,0.865327896792656,0.865327896792656
"4","FGFR4",2.88890730528279,0.227032329598957,0.00255533433644362,1.53052391371413,1.53052391371413,0.387798129644576,0.758677110973861,0.0781452166979104,-1.36662224956283,1.36662224956283,0.616114775437826,0.758155253735198,0.266056836673906,-0.698728960638315,0.698728960638315
"5","FGFRL1",1.35639910757912,0.999398361058074,0.507188993891529,0.439781740278399,0.439781740278399,0.337399081503831,0.911170174424829,0.248241395515846,-1.56747204868237,1.56747204868237,1.62551516466713,0.390135165445295,0.0368566362346561,0.700897015202685,0.700897015202685
"6","FLT1",1.29449223824022,0.999398361058074,0.549182749328386,0.372386314881968,0.372386314881968,0.704918093144146,0.972351778004099,0.492069368389089,-0.504472459332785,0.504472459332785,0.547010667649817,0.237557241051143,0.0108516098104803,-0.870359126557976,0.870359126557976
"7","KDR",1.2277918055717,0.999398361058074,0.638113464884015,0.296065946267009,0.296065946267009,1.56972999492703,0.972351778004099,0.508422051834595,0.650516426327536,0.650516426327536,1.31866402463541,0.610420687118319,0.126406091182684,0.399077034843099,0.399077034843099
"8","MET",0.353892080806961,0.596948153443218,0.0423283725449195,-1.49861861656122,1.49861861656122,1.61307745248812,0.860211592843845,0.187661201375062,0.68981571167263,0.68981571167263,0.701292046222811,0.413740905088929,0.0434540454572894,-0.511912729260536,0.511912729260536
"9","PDCD10",2.47655867935725,0.73599842405239,0.107843503170892,1.30833680446305,1.30833680446305,1.34771599771685,0.97320033920444,0.594454464525159,0.430516511465437,0.430516511465437,1.47400865885626,0.474190262331465,0.0620527561920052,0.559744999366697,0.559744999366697
"10","PDCD11",0.924671326208184,0.999398361058074,0.871572118159277,-0.112987443109566,0.112987443109566,0.867192703236086,0.974061538900922,0.683865307860803,-0.20557547732081,0.20557547732081,0.874449634248156,0.857710724340766,0.441743656939565,-0.193552803379597,0.193552803379597
"11","PDCD2L",0.511766492528411,0.520897592988731,0.0248754469269461,-0.966442403636624,0.966442403636624,0.864615836014641,0.974114724762199,0.725549793653506,-0.209868834491431,0.209868834491431,0.998877834335025,0.998667247273739,0.994857472238954,-0.00161985188107641,0.00161985188107641
"12","PDCD4",0.8412478767248,0.999398361058074,0.711786631552923,-0.249397136463031,0.249397136463031,1.63050308116652,0.926295092877732,0.27509922808988,0.705317167354062,0.705317167354062,0.862176330042438,0.897395888379696,0.550410727620126,-0.213945139189724,0.213945139189724
"13","PDCD5",0.29783353859541,0.355967311689287,0.00659734223178776,-1.74742187205923,1.74742187205923,0.514409042665867,0.758677110973861,0.072487180427441,-0.959012091229011,0.959012091229011,0.583862998612822,0.195997989401491,0.00718606413517486,-0.77629820935937,0.77629820935937
"14","PDCD5P1",0.643054066158799,0.703858553425285,0.0898937722697644,-0.636988054534704,0.636988054534704,0.653095392700933,0.747658782231523,0.0453448988381071,-0.614634364179455,0.614634364179455,0.785024547805853,0.295762912162331,0.018584866583127,-0.349190326941636,0.349190326941636
"15","PDCD6",0.354535870205022,0.922895924052067,0.272343707426306,-1.49599649521124,1.49599649521124,0.276278067568109,0.740008280082809,0.0179353382318067,-1.85580705704618,1.85580705704618,0.652393512881487,0.599988177511515,0.119065782290036,-0.616185658300837,0.616185658300837
"16","PDCD6IP",3.10008143859434,0.330933787246997,0.00558208236798163,1.6323061153424,1.6323061153424,2.45010767859625,0.86155622323329,0.188711130080293,1.29284515492708,1.29284515492708,1.32132137656045,0.714403997746163,0.214125395565657,0.401981406766672,0.401981406766672
"17","PDCD7",1.23573768068221,0.999398361058074,0.542817210769881,0.305372524031986,0.305372524031986,1.62873884356188,0.911647041694888,0.248632799112705,0.70375529674087,0.70375529674087,1.0202612511154,0.984559943592783,0.922000961902145,0.0289386202641255,0.0289386202641255
"18","PDGFRB",2.14191396840725,0.908772004063195,0.255495091707922,1.09890053431561,1.09890053431561,0.465332106403917,0.749959506668435,0.0553331141145013,-1.10366736308617,1.10366736308617,0.752323294267047,0.677376565900071,0.178656374783311,-0.410575333508792,0.410575333508792
"19","RAF1",3.00444602249352,0.53317329822099,0.0269138659574588,1.58709900282353,1.58709900282353,2.07804500019683,0.972351778004099,0.438136095526223,1.0552268962334,1.0552268962334,0.667720933404142,0.478868368506181,0.0636383028745779,-0.582682824695502,0.582682824695502
"20","VEGFC",1.49941079539759,0.933473841949274,0.287983156657155,0.584395694353583,0.584395694353583,0.823167819732537,0.972351778004099,0.453356156810157,-0.280741511124563,0.280741511124563,0.9094172961831,0.928065244689521,0.646301946278708,-0.136985651965794,0.136985651965794
