"","gene_name","fc","qval","pval","logfc","abs_fc"
"1","LOC100996506",2.21516893230917,0.0498752046668153,0.00104708137153553,1.14741672519623,1.14741672519623
"2","RPS9",0.430467786562258,0.0497976419245601,0.00104449035334431,-1.21602281523447,1.21602281523447
"3","RPL10",0.386313812646683,0.0497824285414067,0.00104320888744969,-1.3721548328479,1.3721548328479
"4","ITSN1",2.36531530242356,0.0497713829954052,0.00104201526772263,1.2420325112276,1.2420325112276
"5","CTBP1",2.13315181951242,0.0496901353487316,0.00103935367873587,1.09298664803347,1.09298664803347
"6","NDUFA1",0.203707561043495,0.0495781931326739,0.00103605379528737,-2.29542856486579,2.29542856486579
"7","UBC",2.77995028912184,0.0495046459204393,0.00103262166425666,1.47505908500683,1.47505908500683
"8","RPL23P7",0.324634022714526,0.0495046459204393,0.00103237146907209,-1.62311388788709,1.62311388788709
"9","C9",4.02590679420537,0.0495046459204393,0.00103080626366781,2.00931377208681,2.00931377208681
"10","COPS3",0.22456402731154,0.0495046459204393,0.00103355985219267,-2.15480125252614,2.15480125252614
"11","TGIF1",4.01560692186303,0.049486437376352,0.00102927212992387,2.00561805424047,2.00561805424047
"12","SCP2",10.8980486194967,0.049486437376352,0.00102935310206953,3.44599792722847,3.44599792722847
"13","MOSPD3",0.313400220420594,0.0493979186976051,0.00102545343006577,-1.67392190040046,1.67392190040046
"14","ALAS1",3.42223742280472,0.0493979186976051,0.00102560197725121,1.77493985241089,1.77493985241089
"15","ZDHHC4",2.47056938249718,0.0491671837087214,0.00101891049383807,1.30484357243349,1.30484357243349
"16","RPS9",0.42619395204499,0.0491507002391876,0.00101761874299078,-1.23041797435382,1.23041797435382
"17","DCN",8.5024800596205,0.0491442766654984,0.00101653571559635,3.08788371746704,3.08788371746704
"18","THBS3",0.323583521740442,0.0490483841121892,0.00101360402512962,-1.62778995346264,1.62778995346264
"19","MARS",0.365632650283646,0.0488438656527306,0.00100793124576082,-1.45153318888123,1.45153318888123
"20","PLIN2",3.73469906099226,0.0488438656527306,0.00100843334526313,1.90099199650692,1.90099199650692
"21","RPL17P22",0.397497225402409,0.0488365065348925,0.00100350254797754,-1.33098330470963,1.33098330470963
"22","NOP10",0.340317229349228,0.0488365065348925,0.0010054138920641,-1.55504790195216,1.55504790195216
"23","C7",12.3164229357948,0.0488365065348925,0.00100548019590119,3.62251140918992,3.62251140918992
"24","PRDX3",24.9649698711047,0.0488365065348925,0.00100554643529693,4.64183326044445,4.64183326044445
"25","RPS2P35",0.33781884277593,0.0488060669278241,0.00100104848364402,-1.56567829421628,1.56567829421628
"26","NMRAL1",0.322531279182054,0.0488060669278241,0.00100069738888608,-1.63248901456053,1.63248901456053
"27","HMGCS2",11.6492762359454,0.0488060669278241,0.0010000764557816,3.54216841858678,3.54216841858678
