"","gene_name","fc","qval","pval","logfc","abs_fc"
"1","IGLV1-50",2.61429807781546,0.0497179939201157,0.00145384129831627,1.38642364414378,1.38642364414378
"2","RPL8",2.84788253847022,0.0497179939201157,0.00145522522922303,1.50988964326316,1.50988964326316
"3","IGHV4-34",2.01512631501768,0.0494605125645244,0.00144426120374641,1.01087027465297,1.01087027465297
"4","C1R",3.83782467179016,0.0492865877452025,0.00143323022831876,1.94028880457222,1.94028880457222
"5","ACSL1",4.84062219813522,0.0492865877452025,0.00143448878476859,2.27519249883698,2.27519249883698
"6","IGLJ2",3.05091735312447,0.0492860051484365,0.00143115588876963,1.60924309900787,1.60924309900787
"7","EID2",0.494352094320315,0.0491794649477734,0.00142575477582629,-1.01638915066439,1.01638915066439
"8","RP11-295G20.2",0.438055924691366,0.0491045102124732,0.00142257499754428,-1.19081303071274,1.19081303071274
"9","IGHV3-7",2.20503224225587,0.0490341416849521,0.00141953106284398,1.14079975120346,1.14079975120346
"10","RPL27A",0.299518105412658,0.0487878899711381,0.00141040154302097,-1.7392848805225,1.7392848805225
"11","IGHV3-21",2.27351530547104,0.0487348759538711,0.00140687057331879,1.1849247164435,1.1849247164435
"12","PLVAP",0.312235587786665,0.0486183540035403,0.00140251002753478,-1.67929311363402,1.67929311363402
"13","PANK1",2.22120919147602,0.0486164626163189,0.00140046192594268,1.15134527099971,1.15134527099971
"14","IGHV3-21",2.2751522229861,0.048316552181319,0.0013908319855368,1.18596307454221,1.18596307454221
"15","TSTA3",0.478427186181656,0.0481728914586511,0.00138373356570243,-1.06362872321281,1.06362872321281
"16","MCFD2",2.13362970920537,0.048090427235894,0.00137939286716315,1.0933098185958,1.0933098185958
"17","GLYAT",2.41368489205674,0.0479899052955527,0.00137454171685503,1.27123734372332,1.27123734372332
"18","ETS2",2.31185569472934,0.0477784555300415,0.001365546541372,1.20905134809995,1.20905134809995
"19","SNHG9",0.381931389320155,0.0477463370625017,0.00136089398400419,-1.38861460107102,1.38861460107102
"20","HSPB1P1",0.386953939605136,0.0476452259689546,0.00135685444849465,-1.36976624701391,1.36976624701391
"21","IGLV1-47",2.76524372013386,0.0476452259689546,0.00135612107043781,1.46740664079739,1.46740664079739
"22","IGHV4-34",2.04128180087022,0.0475623424221835,0.00135254375158012,1.02947536152507,1.02947536152507
"23","SHBG",3.03496972648739,0.0475360171389867,0.00135082051409841,1.60168212581725,1.60168212581725
"24","COX6C",0.490832680078337,0.0475124585504062,0.00134917691992276,-1.02669678676397,1.02669678676397
"25","CHCHD10",0.481182709873028,0.0475098264577737,0.0013481280972969,-1.05534329116928,1.05534329116928
"26","UBR4",0.470020238580211,0.0473189469465894,0.00133786090620713,-1.08920521581905,1.08920521581905
"27","EMILIN1",2.01129782773241,0.0471906409198522,0.00133005434272548,1.00812672797766,1.00812672797766
"28","FAM50A",0.350140621412773,0.0471906409198522,0.00133036312922452,-1.51399364977004,1.51399364977004
"29","TMEM56",2.99635750112215,0.0470982561232513,0.00132389611565542,1.58320976476007,1.58320976476007
"30","IGLV1-41",2.27863988129272,0.0465104693470788,0.00130089038487369,1.18817293753633,1.18817293753633
"31","NQO2",0.244001540368995,0.0465104693470788,0.00130165232826429,-2.03503783941192,2.03503783941192
"32","USMG5",0.2728254274534,0.0464777124023329,0.00129882974544593,-1.87394998442783,1.87394998442783
"33","FNDC4",2.67094222345769,0.0464393006211721,0.0012968041876007,1.41734876862274,1.41734876862274
"34","FN1",3.33011052676861,0.0460871363656474,0.0012822455416448,1.73557006131298,1.73557006131298
"35","MT2A",6.7567900656013,0.046015868205897,0.00127583161886768,2.75633803108232,2.75633803108232
"36","IGKV1D-33",3.23039839216658,0.0459301041163254,0.00127222640466551,1.69171209772424,1.69171209772424
"37","UGT2B7",5.57586336870379,0.0458817893015632,0.00126900672013386,2.47919520975215,2.47919520975215
"38","UGP2",3.25850477874297,0.0456242391745976,0.0012534645609128,1.70421011073265,1.70421011073265
"39","C1R",2.7109091480201,0.0454759857743918,0.00124829021265938,1.43877676426483,1.43877676426483
"40","RASSF5",2.04880848528738,0.0453461326572057,0.00123248461207293,1.03478513308544,1.03478513308544
"41","BLNK",2.064703539015,0.0453461326572057,0.00123617347288862,1.04593464677919,1.04593464677919
"42","CERS2",0.333882277955005,0.0453461326572057,0.00123586403662235,-1.58258857586478,1.58258857586478
"43","C16orf58",2.30488206771179,0.045117483585149,0.00122196653577689,1.20469293517522,1.20469293517522
"44","AHSG",5.31719819730736,0.0451110100374101,0.00121439984940075,2.41066624354004,2.41066624354004
"45","PRDX1",0.347980339198935,0.0450145010026268,0.00120994814479936,-1.5229222984153,1.5229222984153
"46","AP2M1",0.468326815205003,0.0450115704813441,0.00120886422349076,-1.09441244942839,1.09441244942839
"47","SORD",2.53289863518136,0.0447323636283719,0.00119758049266028,1.34078934256667,1.34078934256667
"48","COX6C",0.469917619661812,0.0445772788348202,0.00118997041544544,-1.08952023197457,1.08952023197457
"49","CRELD2",0.452389598755306,0.0443395709912399,0.00118089569175051,-1.14436233531348,1.14436233531348
"50","PPA2",0.43088189293666,0.0443395709912399,0.00117835750370188,-1.21463562191914,1.21463562191914
"51","SUN2",2.37023555846284,0.0443395709912399,0.00118179444744315,1.24503044399218,1.24503044399218
"52","F5",0.229810036851972,0.0443395709912399,0.00118257985948655,-2.12148628645793,2.12148628645793
"53","COX4I1",0.486719083890389,0.0442615052679318,0.00117518861118571,-1.03883875217097,1.03883875217097
"54","PLIN2",3.28207236873348,0.0442517091080283,0.00117402123233257,1.71460705020502,1.71460705020502
