"","gene_name","fc.asian","qval.asian","pval.asian","logfc.asian","abs_fc.asian","cluster.asian","zone.asian","celltype.asian","fc.black","qval.black","pval.black","logfc.black","abs_fc.black","cluster.black","zone.black","celltype.black","fc.white","qval.white","pval.white","logfc.white","abs_fc.white","cluster","zone","celltype"
"1","BRF2",1.92375137304571,0.815923810212127,0.160760966183814,0.943922356253566,0.943922356253566,"2",NA,"tcell",0.76345650284357,0.972351778004099,0.431313477483306,-0.389382131603923,0.389382131603923,"2",NA,"tcell",0.674527485050567,0.416468394646757,0.0441097513796858,-0.56805086485203,0.56805086485203,"2",NA,"tcell"
"2","BRI3",2.49201080731822,0.73309103840796,0.106234400991305,1.31731032503551,1.31731032503551,"7",NA,"plasmacell",0.470305874253831,0.81114008047583,0.136005876082801,-1.08832874290847,1.08832874290847,"7",NA,"plasmacell",0.643728413889663,0.313985253322367,0.0212957021634721,-0.635475944708375,0.635475944708375,"7",NA,"plasmacell"
"3","DBP",0.680086842437465,0.936704149895766,0.292769331426532,-0.556209114473837,0.556209114473837,"5",NA,"periportalEC",0.797700891683147,0.97320033920444,0.594252730927954,-0.326080204301533,0.326080204301533,"5",NA,"periportalEC",0.715996708547237,0.364400657376885,0.0307621388614259,-0.481975139483715,0.481975139483715,"5",NA,"periportalEC"
"4","RAC1",1.7270957988641,0.782566832525587,0.137606372246826,0.788348108757399,0.788348108757399,"13",NA,"liverendothelial",0.725484537789568,0.97320033920444,0.621322220634145,-0.462983228344517,0.462983228344517,"13",NA,"liverendothelial",1.48897608689396,0.423674109664589,0.0459799045739251,0.57432058427829,0.57432058427829,"13",NA,"liverendothelial"
"5","RACK1",0.18102814937863,0.648026425364868,0.06339145178033,-2.46571404503003,2.46571404503003,"t6",NA,"nkcell",0.255610352529527,0.972351778004099,0.427362339411672,-1.96798182651892,1.96798182651892,"t6",NA,"nkcell",0.619657062066752,0.632347441056762,0.142750021827514,-0.690458091866752,0.690458091866752,"t6",NA,"nkcell"
"6","RPL36A",0.540473320304751,0.999398361058074,0.640893154804231,-0.887704691754506,0.887704691754506,"15",NA,"interzonalhepatocyte",0.404158267144399,0.970303180332009,0.396774705619765,-1.30700773628748,1.30700773628748,"15",NA,"interzonalhepatocyte",0.497835483864258,0.761601261878972,0.270397585343905,-1.00625903095943,1.00625903095943,"15",NA,"interzonalhepatocyte"
