"gene_name","fc","qval","pval","logfc","abs_fc","cluster","zone","celltype"
"RACK1",0.925422421334288,0.990911053790702,0.867492693676484,-0.111816041633681,0.111816041633681,"t6",NA,"nkcell"
"RACK1",1.20498298261595,0.988648600366152,0.849052936641831,0.269012772124169,0.269012772124169,"t6",NA,"nkcell"
"BRI3",1.1599703979337,0.985851244916111,0.830247729209512,0.214087988715625,0.214087988715625,"7",NA,"plasmacell"
"RACK1",0.885816962906981,0.985803623966453,0.829693191348402,-0.174919470584134,0.174919470584134,"t6",NA,"nkcell"
"BRI3",0.916906155559575,0.983798704881825,0.819550369627919,-0.12515401192531,0.12515401192531,"7",NA,"plasmacell"
"RACK1",0.848443389417404,0.980122936610123,0.771850330700229,-0.23710969266969,0.23710969266969,"t6",NA,"nkcell"
"RACK1",1.11761367063245,0.978560256725883,0.753493892183448,0.160421572990488,0.160421572990488,"t6",NA,"nkcell"
"BRI3",0.824025120479596,0.974061538900922,0.680312273978223,-0.279239776120951,0.279239776120951,"7",NA,"plasmacell"
"RACK1",1.37088796453096,0.974061538900922,0.682038182177445,0.455110672050679,0.455110672050679,"t6",NA,"nkcell"
"RACK1",0.782036749216289,0.974005845028823,0.678303753247357,-0.354691691106171,0.354691691106171,"t6",NA,"nkcell"
"RAC1",0.838929153018398,0.97320033920444,0.632891928138111,-0.25337911366768,0.25337911366768,"13",NA,"liverendothelial"
"DBP",0.797700891683147,0.97320033920444,0.594252730927954,-0.326080204301533,0.326080204301533,"5",NA,"periportalEC"
"RAC1",0.725484537789568,0.97320033920444,0.621322220634145,-0.462983228344517,0.462983228344517,"13",NA,"liverendothelial"
"RPL36A",0.581662326480537,0.97320033920444,0.641437631121351,-0.781746229194596,0.781746229194596,"15",NA,"interzonalhepatocyte"
"RACK1",1.7446062731215,0.972497510154636,0.576550669600649,0.802901482333388,0.802901482333388,"t6",NA,"nkcell"
"BRF2",0.76345650284357,0.972351778004099,0.431313477483306,-0.389382131603923,0.389382131603923,"2",NA,"tcell"
"BRI3",1.34389303338621,0.972351778004099,0.518254379295715,0.426418311967403,0.426418311967403,"7",NA,"plasmacell"
"RPL36A",0.742111697829473,0.972351778004099,0.509809264179368,-0.430291746617115,0.430291746617115,"15",NA,"interzonalhepatocyte"
"BRI3",0.728889853865678,0.972351778004099,0.489042931812598,-0.456227276614691,0.456227276614691,"7",NA,"plasmacell"
"RPL36A",0.678050392872677,0.972351778004099,0.409492418810897,-0.560535596089398,0.560535596089398,"15",NA,"interzonalhepatocyte"
"RPL36A",0.663465347458995,0.972351778004099,0.52746968026014,-0.591906978733639,0.591906978733639,"15",NA,"interzonalhepatocyte"
"BRI3",0.624892274911189,0.972351778004099,0.506707391662399,-0.678320589667157,0.678320589667157,"7",NA,"plasmacell"
"RACK1",0.255610352529527,0.972351778004099,0.427362339411672,-1.96798182651892,1.96798182651892,"t6",NA,"nkcell"
"RPL36A",0.404158267144399,0.970303180332009,0.396774705619765,-1.30700773628748,1.30700773628748,"15",NA,"interzonalhepatocyte"
"RACK1",2.27985180218528,0.956815284220185,0.35092872055642,1.18894004754738,1.18894004754738,"t6",NA,"nkcell"
"RACK1",0.273018595041515,0.934620539850706,0.289355483708643,-1.87292887978407,1.87292887978407,"t6",NA,"nkcell"
"RACK1",3.08204334117418,0.893483581491616,0.227894567541716,1.62388714986613,1.62388714986613,"t6",NA,"nkcell"
"BRI3",0.470305874253831,0.81114008047583,0.136005876082801,-1.08832874290847,1.08832874290847,"7",NA,"plasmacell"
