"gene_name","fc","qval","pval","logfc","abs_fc","cluster","zone","celltype"
"RACK1",1.01925050472537,0.999398361058074,0.979135722818812,0.027508671238634,0.027508671238634,"t6",NA,"nkcell"
"CPA6",1.02087749056904,0.999398361058074,0.934409177807109,0.0298097473586465,0.0298097473586465,"14",NA,"periportalEC"
"RAC1",1.02173421750312,0.999398361058074,0.954076786385237,0.0310199585473782,0.0310199585473782,"13",NA,"liverendothelial"
"RAC1",0.944634719819826,0.999398361058074,0.871498501228952,-0.0821715325183555,0.0821715325183555,"13",NA,"liverendothelial"
"BRI3",1.0604146412301,0.999398361058074,0.910419127216938,0.0846284948615995,0.0846284948615995,"7",NA,"plasmacell"
"RAC1",0.941764691901926,0.999398361058074,0.824049899729109,-0.0865614599255078,0.0865614599255078,"13",NA,"liverendothelial"
"CPA6",1.07254835955359,0.999398361058074,0.826355921106288,0.101042698088693,0.101042698088693,"14",NA,"periportalEC"
"BRI3",1.07453889015337,0.999398361058074,0.857291050505502,0.103717698322771,0.103717698322771,"7",NA,"plasmacell"
"RACK1",1.08053375908424,0.999398361058074,0.944276382129306,0.111744146980003,0.111744146980003,"t6",NA,"nkcell"
"RACK1",0.922010436070989,0.999398361058074,0.861000867177647,-0.117145014533559,0.117145014533559,"t6",NA,"nkcell"
"RACK1",0.851029912124936,0.999398361058074,0.821529207242661,-0.232718254026764,0.232718254026764,"t6",NA,"nkcell"
"RPL36A",0.841177763656357,0.999398361058074,0.705568664208308,-0.249517381630217,0.249517381630217,"15",NA,"interzonalhepatocyte"
"RAC1",0.834258016580729,0.999398361058074,0.635623905363654,-0.261434450218521,0.261434450218521,"13",NA,"liverendothelial"
"RPL36A",0.831534729826187,0.999398361058074,0.57707991486882,-0.266151574607933,0.266151574607933,"15",NA,"interzonalhepatocyte"
"RACK1",0.826638314050544,0.999398361058074,0.558819095875165,-0.274671861818863,0.274671861818863,"t6",NA,"nkcell"
"BRI3",1.21613678355912,0.999398361058074,0.614174957323594,0.282305503341021,0.282305503341021,"7",NA,"plasmacell"
"RPL36A",0.814651315515743,0.999398361058074,0.654292927666109,-0.29574540120851,0.29574540120851,"15",NA,"interzonalhepatocyte"
"RACK1",1.24072761022438,0.999398361058074,0.786789836293015,0.311186420454333,0.311186420454333,"t6",NA,"nkcell"
"BRI3",0.805630392861996,0.999398361058074,0.54593586110374,-0.311809984030027,0.311809984030027,"7",NA,"plasmacell"
"BRI3",0.794441046085464,0.999398361058074,0.554937081023622,-0.33198793091565,0.33198793091565,"7",NA,"plasmacell"
"RPL36A",0.791970487028707,0.999398361058074,0.707906619614124,-0.336481425959574,0.336481425959574,"15",NA,"interzonalhepatocyte"
"RACK1",1.37088968423969,0.999398361058074,0.690846802243274,0.455112481836573,0.455112481836573,"t6",NA,"nkcell"
"RPL36A",0.720196144046833,0.999398361058074,0.708438343581149,-0.473538219573837,0.473538219573837,"15",NA,"interzonalhepatocyte"
"RAC1",0.693279714057811,0.999398361058074,0.672924411123744,-0.528490548202249,0.528490548202249,"13",NA,"liverendothelial"
"RACK1",1.57115548139194,0.999398361058074,0.585818064600169,0.651825956656156,0.651825956656156,"t6",NA,"nkcell"
"RACK1",0.580704114791148,0.999398361058074,0.466212128396594,-0.784124838067784,0.784124838067784,"t6",NA,"nkcell"
"RPL36A",0.540473320304751,0.999398361058074,0.640893154804231,-0.887704691754506,0.887704691754506,"15",NA,"interzonalhepatocyte"
"RACK1",0.308377828221813,0.999398361058074,0.495526836427654,-1.69722905292987,1.69722905292987,"t6",NA,"nkcell"
"RACK1",0.592930763177302,0.995930261223022,0.400372650878798,-0.754064444504768,0.754064444504768,"t6",NA,"nkcell"
"RPL36A",0.724657584707395,0.978318068114697,0.35821839706648,-0.464628641192697,0.464628641192697,"15",NA,"interzonalhepatocyte"
"DBP",0.727278236423677,0.977695035982961,0.356638647847809,-0.459420690144652,0.459420690144652,"5",NA,"periportalEC"
"BRI3",0.631727094826899,0.965107158459247,0.335112579280901,-0.662626644033438,0.662626644033438,"7",NA,"plasmacell"
"RACK1",0.690199095879418,0.963199029255558,0.331478020104979,-0.534915510959101,0.534915510959101,"t6",NA,"nkcell"
"RPL36A",0.757632845357852,0.956475960549501,0.320197975500575,-0.400429218136338,0.400429218136338,"15",NA,"interzonalhepatocyte"
"BRI3",1.27366914125817,0.953951865790099,0.31614011786528,0.348990559966224,0.348990559966224,"7",NA,"plasmacell"
"RAC1",0.781498034814837,0.941720689947503,0.297982682427002,-0.355685849514571,0.355685849514571,"13",NA,"liverendothelial"
"DBP",0.680086842437465,0.936704149895766,0.292769331426532,-0.556209114473837,0.556209114473837,"5",NA,"periportalEC"
"RPL36A",0.6309210575396,0.930350749260048,0.282986492823854,-0.664468592089895,0.664468592089895,"15",NA,"interzonalhepatocyte"
"BRI3",0.651664281373464,0.924819147534368,0.27502498819549,-0.617799173889765,0.617799173889765,"7",NA,"plasmacell"
"BRI3",0.554861838714181,0.874846766236393,0.218399320469772,-0.849799511561323,0.849799511561323,"7",NA,"plasmacell"
"RPL36A",0.655287468037533,0.854275085660054,0.194654615359848,-0.609800153534686,0.609800153534686,"15",NA,"interzonalhepatocyte"
"BRF2",1.92375137304571,0.815923810212127,0.160760966183814,0.943922356253566,0.943922356253566,"2",NA,"tcell"
"RAC1",0.628506904701243,0.808318364998543,0.156010945844623,-0.669999500880363,0.669999500880363,"13",NA,"liverendothelial"
"RAC1",1.7270957988641,0.782566832525587,0.137606372246826,0.788348108757399,0.788348108757399,"13",NA,"liverendothelial"
