"","gene_name","fc.asian","qval.asian","pval.asian","logfc.asian","abs_fc.asian","fc.white","qval.white","pval.white","logfc.white","abs_fc.white","fc.black","qval.black","pval.black","logfc.black","abs_fc.black"
"1","IGFBP3",17.8562907042557,0.0397003111729879,0.000613172935367778,4.15836051474406,4.15836051474406,7.58448896815956,0.000287877118118243,5.57512588206244e-07,2.9230519770525,2.9230519770525,4.61709189235263,0.00661600613619082,5.00354223675892e-06,2.20698444612394,2.20698444612394
"2","MARCO",4.00963656777063,4.6601000574666e-06,5.13494757825583e-09,2.00347147716985,2.00347147716985,7.69803170870004,0,0,2.94448961371696,2.94448961371696,13.9033862992746,0.00661600613619082,4.78587973640199e-06,3.79736440245342,3.79736440245342
"3","CFP",12.7961310184634,1.86334912126718e-07,8.66264837640074e-11,3.67763576415722,3.67763576415722,5.55283121616857,2.18474185860686e-07,1.3885881333664e-10,2.47322354444444,2.47322354444444,10.0545397652601,0.00393099280655769,2.18772845306248e-06,3.32977514037219,3.32977514037219
"4","FCN3",8.54658154433496,1.03855115931382e-07,4.41688907670823e-11,3.09534748722535,3.09534748722535,6.75872247601029,9.40949321062183e-06,1.13822958835996e-08,2.75675057613741,2.75675057613741,14.8039744031995,0.00275320176432176,1.37633326180442e-06,3.88791264114954,3.88791264114954
"5","COLEC10",8.80294557128566,2.23815746888282e-09,6.05737682235485e-13,3.13798634761698,3.13798634761698,4.6115979418768,5.52209848218392e-09,2.03792538400194e-12,2.20526673837017,2.20526673837017,5.53778932166181,0.00184565701655427,6.15099402856423e-07,2.46931016920227,2.46931016920227
"6","CLEC4G",6.3364606602935,7.518204240982e-11,1.59872115546023e-14,2.66367722306943,2.66367722306943,7.09977851057395,8.12250267046011e-12,6.66133814775094e-16,2.82777401804255,2.82777401804255,4.06957624176598,0.0273943823213646,3.0432285190507e-05,2.02487857686713,2.02487857686713
"7","FCN2",12.8955060829715,0,0,3.68879648756209,3.68879648756209,4.60110415361316,0,0,2.20198011460253,2.20198011460253,4.07339558963543,0.00739483013816004,5.95578843021194e-06,2.02623192911956,2.02623192911956
