"","gene_name","fc","qval","pval","logfc","abs_fc"
"1","ESM1",0.354825119147383,0.0494120541250882,0.000541692864146626,-1.49481994887131,1.49481994887131
"2","HBB",2.44121836874446,0.0472210131396678,0.000509475822615402,1.28760135100356,1.28760135100356
"3","MAT1A",3.06927417181109,0.0472210131396678,0.00050907553483559,1.61789752447661,1.61789752447661
"4","MCFD2",2.72569686036516,0.0470866248713919,0.000504231346129647,1.44662512106962,1.44662512106962
"5","RPA3",0.4324934129044,0.0462773429577584,0.000492574112539446,-1.20924993495309,1.20924993495309
"6","AK3",2.39178303232396,0.0462773429577584,0.000493254547317967,1.25808652315334,1.25808652315334
"7","FOS",3.10208881136163,0.0458542569784611,0.000481762945284014,1.6332399906541,1.6332399906541
"8","NDRG2",2.34522752939245,0.0453152432428635,0.000469820784879338,1.22972789698469,1.22972789698469
"9","LY6E",3.93778948611982,0.0453152432428635,0.000470355590048488,1.97738598695076,1.97738598695076
"10","IGLV2-18",2.11518855335029,0.0452270253268909,0.000465160885785409,1.08078627462586,1.08078627462586
"11","IGLV3-21",5.50695293232058,0.0452270253268909,0.000466099056498304,2.46125427789176,2.46125427789176
"12","RPL18",2.17353610932838,0.0443799639843639,0.00045274472286394,1.12004406355538,1.12004406355538
"13","CRELD2",0.428587225169162,0.0443799639843639,0.000451875411956348,-1.22233924641226,1.22233924641226
"14","IGKV1-39",4.27903965105579,0.0443799639843639,0.000452758268264741,2.09728704753268,2.09728704753268
"15","IGKV2-30",2.47023520575673,0.0442460691594341,0.000443692636441728,1.30464841590853,1.30464841590853
"16","CXCR4",3.03233824127914,0.0441283396675764,0.000441552167560366,1.60043068747975,1.60043068747975
"17","IGLV3-19",4.36795226811892,0.0441148886593136,0.00043949836870194,2.12695709093625,2.12695709093625
"18","IGKV2-30",2.47194119651433,0.0440563274277379,0.0004379566178212,1.30564442426729,1.30564442426729
"19","CCL2",2.42846447750216,0.0438793483624685,0.000433068346204823,1.28004438341484,1.28004438341484
"20","MT2A",6.12491858227769,0.0438793483624685,0.000433964283166888,2.61469066669073,2.61469066669073
"21","DUSP6",3.17990179499877,0.0426306138544885,0.000417292617996168,1.66898221140397,1.66898221140397
"22","PGLYRP2",2.51905571125114,0.0426193568075283,0.000416255355576878,1.33288302896257,1.33288302896257
"23","IGHG3",2.40510703059973,0.0418595075774972,0.000407923505497232,1.26610109735483,1.26610109735483
"24","SLC25A47",2.83589190156129,0.0414098863012285,0.000402641154978012,1.50380254102111,1.50380254102111
"25","RBP7",0.445281815782411,0.040329232469699,0.000388624597234766,-1.16720939803177,1.16720939803177
"26","DYNLRB1",0.427050635870033,0.0402338447173186,0.000386715221927569,-1.22752095293977,1.22752095293977
