"gene_name","fc","qval","pval","logfc","abs_fc"
"PDCD2L",0.985137760353233,0.981500050760402,0.936005299591906,-0.0216026116568337,0.0216026116568337
"KDR",0.939663372786258,0.908358177838847,0.769610144827192,-0.0897840800032362,0.0897840800032362
"RAF1",0.944130607639907,0.877652886121958,0.706748383155246,-0.082941644240248,0.082941644240248
"FGFR4",1.11196130348208,0.861313848154501,0.672376096872249,0.153106582804323,0.153106582804323
"VEGFC",0.886247693988088,0.767136266699618,0.506776704038625,-0.174218126415353,0.174218126415353
"PDGFRB",0.788223544675349,0.630113340007676,0.324943284818222,-0.343323250665305,0.343323250665305
"PDCD4",1.23725702843937,0.611397840950892,0.30379948210186,0.307145237691538,0.307145237691538
"FGFR3",1.35092470385456,0.498938678019564,0.193988312865884,0.433947265779147,0.433947265779147
"ARAF",1.21276280786215,0.483606809521859,0.181290454711316,0.278297415765785,0.278297415765785
"VEGFB",1.534348103888,0.456627455097966,0.158521732509396,0.617625830154829,0.617625830154829
"PDCD7",1.21067352573039,0.36297580627602,0.0995978162181421,0.275809875511075,0.275809875511075
"PDCD6IP",1.35593378311151,0.350996256871195,0.0928593811145603,0.439286726328809,0.439286726328809
"PDCD10",1.25482085361879,0.31566727325712,0.0761028883003894,0.327481410356012,0.327481410356012
"FGFR2",1.81945336271313,0.304120748405748,0.0690272322655296,0.863505071655092,0.863505071655092
"FLT1",0.654266232098308,0.29292226019657,0.062679145263243,-0.61205028245053,0.61205028245053
"TIE1",0.712196363641474,0.244564270470995,0.044324090479074,-0.489653025333263,0.489653025333263
"PDCD5P1",0.790610415248642,0.213227295343555,0.0345072699220546,-0.338961134001793,0.338961134001793
"PDCD11",0.607383522386764,0.166631886211883,0.0217585603956224,-0.719320324500782,0.719320324500782
"FGFR1OP2",0.651256099671129,0.15671309323094,0.0195040001452967,-0.618703115136787,0.618703115136787
"PDCD5",0.693499896179229,0.0777635128829,0.00605376041500838,-0.528032428317897,0.528032428317897
"PDCD6",0.734749391290378,0.0632221916143225,0.00425144883949335,-0.444675836223707,0.444675836223707
"PDGFRA",1.63862908589641,0.0471045586973021,0.00275007398955784,0.712489328203862,0.712489328203862
"MET",0.505000209032194,0.0373302132912028,0.00185249892903006,-0.985644109855312,0.985644109855312
