"gene_name","fc","qval","pval","logfc","abs_fc"
"SPP1",0.95672914640089,0.992242770743412,0.967780038358644,-0.0638175447337536,0.0638175447337536
"GOLM1",1.17607426042766,0.940696498358927,0.796866201880552,0.233979158616667,0.233979158616667
"DCPS",0.88194099895208,0.927469262573553,0.767159629012814,-0.181245950857878,0.181245950857878
"AFP",0.590967866520974,0.892401076786645,0.686640935717676,-0.758848407921406,0.758848407921406
"DKK1",1.31693211374349,0.886571468582476,0.675026712657599,0.397180978327995,0.397180978327995
"F2",0.86360385345271,0.872790394685278,0.64182434401124,-0.211558414119913,0.211558414119913
"FUCA1",1.2883565549712,0.658051527265201,0.299572846229915,0.365531917133909,0.365531917133909
"GPC3",0.213715886921292,0.400799020075441,0.0991591618834496,-2.22623393779912,2.22623393779912
"MDK",0.215546459780166,0.256378921962108,0.0355284679811907,-2.21392922756716,2.21392922756716
