"gene_name","fc","qval","pval","logfc","abs_fc"
"MIR4444-2",0.978270531321045,0.991122950991441,0.953828550324057,-0.0316946110756553,0.0316946110756553
"MIR6840",0.979406199321742,0.980107498434064,0.901640835820677,-0.0300207670228066,0.0300207670228066
"MIR4707",0.965440475260127,0.974829411190576,0.875230225939507,-0.0507407830903461,0.0507407830903461
"MIR324",0.970819000620651,0.974596065219893,0.873224089021386,-0.0427257500644323,0.0427257500644323
"MIR4435-2HG",1.05478728769653,0.955701787558183,0.769912461981583,0.0769520890495717,0.0769520890495717
"MIR6772",0.926571602891292,0.945588814078472,0.719203970446505,-0.110025626843494,0.110025626843494
"MIR99AHG",1.06675617770684,0.945477359646557,0.718213834217071,0.0932304653749421,0.0932304653749421
"MIR3652",1.15240895948596,0.924754019077028,0.631646183298619,0.204652781989905,0.204652781989905
"MIR4444-2",1.08515849260545,0.92454107200599,0.629916989246012,0.117905770593163,0.117905770593163
"MIR1184-2",0.951251148114315,0.911142046966443,0.586596765865819,-0.0721018050067072,0.0721018050067072
"MIR497HG",0.917787131356598,0.86847525832408,0.46997519052878,-0.123768516572757,0.123768516572757
"MIR22",1.16708298872373,0.832080762143694,0.392022040095499,0.222907151587931,0.222907151587931
"MIR22",1.19149225030634,0.803574624594318,0.337693913358521,0.252769567994007,0.252769567994007
"MIR1184-2",0.87480179735281,0.795951654577206,0.323838533020438,-0.192971910361756,0.192971910361756
"MIR4444-2",1.2341792001127,0.767584744647498,0.277594622678104,0.303551885851946,0.303551885851946
"MIR1244-4",0.806458846715745,0.728835394514085,0.230404698261403,-0.310327179800234,0.310327179800234
"MIR1244-4",0.769696982963591,0.701196777172971,0.200689814892654,-0.377637502607125,0.377637502607125
"MIR8085",1.28947413133637,0.682391375535283,0.183404407017683,0.366782830926985,0.366782830926985
"MIR4435-2HG",0.616566392247215,0.648326050075708,0.154168295081018,-0.697671841607832,0.697671841607832
"MIR3682",0.731705645263433,0.630024848280884,0.141279212977289,-0.450664705292542,0.450664705292542
"MIR1244-3",0.276027707150876,0.425189450657315,0.046348268187293,-1.8571150055546,1.8571150055546
"MIR6087",1.39273555901097,0.381090963195539,0.0347128286800616,0.477921357063404,0.477921357063404
"MIR6821",1.48512500032423,0.245570807688925,0.0118403976727794,0.570584365206732,0.570584365206732
"MIR7641-2",1.49408378286264,0.195344004642981,0.00714318507199141,0.579261051561764,0.579261051561764
"MIR650",3.1385597431214,0.0157421177446168,9.31405208939307e-05,1.65010267117514,1.65010267117514
