"","gene_name","fc.asian","qval.asian","pval.asian","logfc.asian","abs_fc.asian","fc.black","qval.black","pval.black","logfc.black","abs_fc.black","fc.white","qval.white","pval.white","logfc.white","abs_fc.white"
"1","ABCB1",0.355262501206705,0.772992068376402,0.131297906312947,-1.49304267803973,1.49304267803973,5.3380920808892,0.826068277539483,0.149226259599474,2.41632419185988,2.41632419185988,1.79211648153159,0.367921868446502,0.031533358872342,0.841664410758579,0.841664410758579
"2","ADAM10",2.18253830337795,0.762119955568286,0.124369989255059,1.12600697326297,1.12600697326297,1.8980598232214,0.935501792880546,0.293789762286292,0.924525464068569,0.924525464068569,1.38850841252931,0.641928606644362,0.149534791798366,0.473535918012035,0.473535918012035
"3","ATG5",3.42357011876898,0.459564978090571,0.0158025299318789,1.775501560835,1.775501560835,0.785050382909828,0.97320033920444,0.66843066128865,-0.349142848728132,0.349142848728132,1.1978052476391,0.866302902143773,0.462875812543938,0.26039335795517,0.26039335795517
"4","CADM1",1.99467497583101,0.987514025795821,0.375701812440372,0.996153684313162,0.996153684313162,0.377120553449139,0.747658782231523,0.0335283655130347,-1.40690231393552,1.40690231393552,0.691518038286073,0.818503035080599,0.366610023391295,-0.532161210241246,0.532161210241246
"5","CCND1",1.53060679373186,0.999398361058074,0.41619665427203,0.614103708316262,0.614103708316262,3.395877541191,0.731333376218822,0.0126132715559124,1.76378443477379,1.76378443477379,1.20919988717557,0.873082385839527,0.480193052521249,0.274052749467562,0.274052749467562
"6","CD82",4.5423761963739,0.380129595603613,0.00778622779300031,2.18344719397256,2.18344719397256,3.59449273440337,0.786914874140287,0.111822325259895,1.84578818757772,1.84578818757772,2.40220362571386,0.0723987191521891,0.00102734999403831,1.26435844802787,1.26435844802787
"7","CDK6",1.2176063568228,0.999398361058074,0.550977396972953,0.28404779592912,0.28404779592912,0.90142045041525,0.989205508495896,0.859135043742289,-0.149727914217284,0.149727914217284,0.886351522987221,0.884224345540541,0.51126356227856,-0.174049116318895,0.174049116318895
"8","CITED2",2.45025137426169,0.592540696733353,0.0403719001477334,1.29292976465537,1.29292976465537,1.42596716891284,0.94131275702898,0.310434406946334,0.51194076593896,0.51194076593896,1.93569626070181,0.174286680450308,0.0056071086832421,0.952852590237665,0.952852590237665
"9","CLDN1",0.373389125198683,0.8640034133182,0.204323545534134,-1.42124818459801,1.42124818459801,10.7835716605246,0.781281057583977,0.102372884686874,3.43076319166906,3.43076319166906,1.7651544224195,0.731507526516364,0.234708406357309,0.819794401464453,0.819794401464453
"10","CLTC",0.232025710104135,0.668249585857828,0.0734744665021527,-2.10764341977313,2.10764341977313,2.13810706233898,0.972351778004099,0.442278646405487,1.09633409554592,1.09633409554592,0.348328875273591,0.0979168703478483,0.0017964333635403,-1.52147802251597,1.52147802251597
"11","CXCL1",2.61460757715241,0.604896478346092,0.0454383906742923,1.38659443060985,1.38659443060985,2.15182753817543,0.85763745526182,0.184909880173231,1.10556245531581,1.10556245531581,2.77715498667095,0.175917265684535,0.00573609982731049,1.47360769291557,1.47360769291557
"12","FASN",2.46975610903605,0.429174838655913,0.012381644152631,1.30436858122011,1.30436858122011,0.366510511763053,0.972351778004099,0.415582931197192,-1.44807351849021,1.44807351849021,0.390923491823118,0.647918526949617,0.153932092389796,-1.35504181156901,1.35504181156901
"13","FGFRL1",1.35639910757912,0.999398361058074,0.507188993891529,0.439781740278399,0.439781740278399,0.337399081503831,0.911170174424829,0.248241395515846,-1.56747204868237,1.56747204868237,1.62551516466713,0.390135165445295,0.0368566362346561,0.700897015202685,0.700897015202685
"14","FSCN1",2.76812026504052,0.449258697286787,0.0150342832934538,1.46890662433605,1.46890662433605,1.07116748704659,0.98897980979512,0.851540243560022,0.099184076577222,0.099184076577222,1.16502555877585,0.864697295089081,0.459546774419569,0.220361605621782,0.220361605621782
"15","IRF1",5.11053349568695,0.522738551356038,0.0255517175884931,2.35347390396269,2.35347390396269,2.46736234155892,0.95790138905196,0.35822480965412,1.30296959645866,1.30296959645866,1.99309580490065,0.333030661715733,0.0245993159633008,0.995011059867421,0.995011059867421
"16","JAK1",7.41741124215639,0.47336952754084,0.0178581541824608,2.89091575830589,2.89091575830589,2.09719871304555,0.972351778004099,0.425574637702556,1.06846356565155,1.06846356565155,3.18393072752974,0.070645561448237,0.000972736456902767,1.67080894764774,1.67080894764774
"17","MAP4K4",1.85962648620149,0.863323738972893,0.203550241974632,0.895012879065569,0.895012879065569,0.455642635318635,0.747658782231523,0.0258132045811812,-1.13402534589911,1.13402534589911,0.879899059476138,0.819555164266163,0.369270795959236,-0.184590065166845,0.184590065166845
"18","MAPK14",3.23529474462995,0.430106319813463,0.0125969899984361,1.69389715186096,1.69389715186096,1.57069590570856,0.934308667162958,0.287740931859889,0.651403894959173,0.651403894959173,1.57241684124738,0.528700639102996,0.0823923250153547,0.652983720829594,0.652983720829594
"19","MDM2",2.88719779107909,0.624918914271825,0.053104417123071,1.52966994457927,1.52966994457927,1.89589595624653,0.922693101314042,0.268054962560047,0.922879793600197,0.922879793600197,1.38293131413334,0.731930598849398,0.235166789653401,0.467729504123995,0.467729504123995
"20","MST1",0.147918808573181,0.170675449185401,0.00150937005349472,-2.75712258531713,2.75712258531713,12.3974267044048,0.731333376218822,0.0140011144691168,3.63196879081714,3.63196879081714,2.59812445675565,0.312029487899059,0.0210340942965106,1.37747054119518,1.37747054119518
