"gene_name","fc","qval","pval","logfc","abs_fc"
"MIR4461",1.02278602444075,0.978157491083664,0.900850767093874,0.0325043525441989,0.0325043525441989
"MIR4444-2",1.02824487628907,0.973329808938167,0.881293127943727,0.0401838829535231,0.0401838829535231
"MIR4444-2",0.916499708951865,0.941198488195657,0.749054087915385,-0.125793672271429,0.125793672271429
"MIR8085",1.0603164315333,0.931218289404773,0.715158059207283,0.0844948742960675,0.0844948742960675
"MIR4435-2HG",1.04244317245314,0.929658163384773,0.710519279872354,0.0599687390131978,0.0599687390131978
"MIR4707",0.884454681701653,0.893850812446503,0.607353361003565,-0.177139871880349,0.177139871880349
"MIR4435-2HG",0.858334859725281,0.802298694361725,0.422214000033862,-0.220387502853104,0.220387502853104
"MIR99AHG",0.87548445564286,0.801630944238276,0.421097027562408,-0.191846531266844,0.191846531266844
"MIR324",0.863606982304969,0.769973391377388,0.370191874085533,-0.211553187219359,0.211553187219359
"MIR6772",1.17767963777964,0.721552100584331,0.30797876136168,0.23594713862117,0.23594713862117
"MIR7641-2",1.18714586187726,0.717970671090276,0.304240510380416,0.247497206486698,0.247497206486698
"MIR3682",0.809737337737171,0.670274095888363,0.2554151846638,-0.304474091825678,0.304474091825678
"MIR5572",1.14029729058768,0.656697882427456,0.242236094805632,0.189410003110879,0.189410003110879
"MIR1295A",0.838040964058669,0.647909047878141,0.233942802357443,-0.254907329244501,0.254907329244501
"MIR4444-2",1.30371378215906,0.63314640166543,0.221290989239976,0.382627174489783,0.382627174489783
"MIR22",1.21874386986212,0.628449131801447,0.216950590730512,0.285394962294649,0.285394962294649
"MIR22",1.24630067858226,0.587315199367427,0.184223874095261,0.317652170423083,0.317652170423083
"MIR1244-3",0.368054264423192,0.492802897302913,0.124395268027657,-1.44200960783662,1.44200960783662
"MIR6087",1.25980532104934,0.469630101626328,0.112323069833185,0.333200809870801,0.333200809870801
"MIR4435-2HG",0.551825940439359,0.384243069630996,0.0723410796527111,-0.857714817856227,0.857714817856227
"MIR4435-2HG",0.806308576230079,0.364311849412688,0.064841742829203,-0.310596027598131,0.310596027598131
"MIR3652",1.75202051191541,0.340033080631333,0.0563096566256465,0.809019665501536,0.809019665501536
"MIR497HG",0.753750174106715,0.253769956663022,0.0310513614090482,-0.407841664630374,0.407841664630374
"MIR6821",1.42437482637248,0.180959650982455,0.0162700931591969,0.510328843629878,0.510328843629878
"MIR4458HG",0.723492570563211,0.179541875573031,0.0160582150392571,-0.466949892873479,0.466949892873479
"MIR1244-4",0.586415973557385,0.0998417976977486,0.00515836623507626,-0.770003692885356,0.770003692885356
"MIR1244-4",0.500642068488843,0.0572505979113289,0.00185811490740218,-0.998148570440794,0.998148570440794
"MIR650",2.83129050011488,0.0101919741277651,9.80037697527747e-05,1.50145978229688,1.50145978229688
