biomarker,targets,type,,,,,,,,,,,,
miR-122,"ADAM10, IGF1R, CCNG1",exo,,,,,,,,,,,,
miR-320a,PBX3,exo,,,,,,,,,,,,
miR-335-5p,,exo,,,,,,,,,,,,
miR-638,,exo,,,,,,,,,,,,
miR-718,HOXB8,exo,,,,,,,,,,,,
miR-1247-3p,B4GALT3,exo,,,,,,,,,,,,
"miR-122, miR-148a, miR-1246",,exo,,,,,,,,,,,,
"miR-18a, miR-221, miR-222, miR-224, miR-101, miR-106b, miR-122, miR-195",,exo,,,,,,,,,,,,
"miR-10b, miR-21, miR-122, miR-200a",,exo,,,,,,,,,,,,
"miR-519d, miR-21, miR-221, miR-1228",,exo,,,,,,,,,,,,
