"gene_name","fc","qval","pval","logfc","abs_fc"
"MIR663AHG",1.1036869373128,0.984397892700087,0.719155599536714,0.142331007227977,0.142331007227977
"MIR4707",1.15292114535615,0.981728625069568,0.709769779038137,0.205293842483187,0.205293842483187
"MIR324",0.878937463953317,0.956154962960615,0.617597621160545,-0.186167573038506,0.186167573038506
"MIR4435-2HG",0.673024853523101,0.903476562636068,0.498409887217026,-0.571268313094161,0.571268313094161
"MIR4444-2",1.79127521774583,0.885761322246809,0.468847856414001,0.840987015030762,0.840987015030762
"MIR1184-2",0.871660865660545,0.847989212815891,0.412658904177819,-0.198161155523065,0.198161155523065
"MIR1184-2",0.758064785803603,0.839420793872126,0.401739589197967,-0.399606945483663,0.399606945483663
"MIR3682",0.713783094677834,0.777412806491137,0.328900215934167,-0.486442362053621,0.486442362053621
"MIR8085",0.705746648599604,0.727434885716689,0.279670933511613,-0.502777722165581,0.502777722165581
"MIR4444-2",1.68401362750779,0.533279523487119,0.141214075522948,0.751903813142052,0.751903813142052
"MIR6087",0.704858348068223,0.517020963479231,0.133223850537717,-0.504594739606853,0.504594739606853
"MIR1244-3",0.0642510578229698,0.284904459824625,0.040998836222129,-3.96013598288627,3.96013598288627
"MIR4458HG",0.498185273128026,0.278829597301688,0.0393126796397005,-1.00524572023594,1.00524572023594
"MIR7111",0.535410228149832,0.197150621697047,0.0197557196928901,-0.901283395280929,0.901283395280929
"MIR4435-2HG",0.420708047991742,0.15166288453246,0.011549834400906,-1.24910867828596,1.24910867828596
"MIR650",4.1893620506075,0.147324394964692,0.0107967828744253,2.06673056934293,2.06673056934293
"MIR99AHG",0.469753072947291,0.140300298863342,0.00960396215420933,-1.09002549564476,1.09002549564476
"MIR3652",7.07981809299524,0.0604078145436382,0.00153677368897487,2.82371229255331,2.82371229255331
"MIR1244-4",0.312925401413498,0.0485877443274011,0.000982845322796799,-1.6761093221958,1.6761093221958
"MIR1244-4",0.312925389174979,0.0485877443274011,0.000982844917009063,-1.67610937861963,1.67610937861963
