"gene_name","fc","qval","pval","logfc","abs_fc"
"MIR4444-2",1.00964260496823,0.995768938164903,0.976512232279904,0.0138446956623902,0.0138446956623902
"MIR22",1.04208421236009,0.989267450437849,0.898009345917147,0.0594718686386351,0.0594718686386351
"MIR3652",1.06223331389889,0.989267450437849,0.894347708129636,0.0871006812417877,0.0871006812417877
"MIR3125",0.916726089658295,0.979938249855023,0.802953712699427,-0.125437362291036,0.125437362291036
"MIR4435-2HG",1.12175757131644,0.970461754667973,0.735778761458284,0.165760921534934,0.165760921534934
"MIR7111",0.894097280142198,0.955424281307138,0.672565508395442,-0.161496285913373,0.161496285913373
"MIR4707",0.829597310053773,0.949795007305413,0.629217884050486,-0.269516878627224,0.269516878627224
"MIR4461",0.797200611997922,0.947817001434863,0.623015879966683,-0.326985277176487,0.326985277176487
"MIR4435-2HG",1.29478405298395,0.92200751363609,0.546172760790547,0.372711502029317,0.372711502029317
"MIR22",1.21890367339011,0.892094426528657,0.451343963004913,0.285584118235849,0.285584118235849
"MIR1244-4",0.483362078038867,0.534952542596466,0.0616169130147322,-1.04882380335468,1.04882380335468
"MIR1244-4",0.490183519610237,0.484006441488975,0.0449500802715898,-1.02860611451016,1.02860611451016
"MIR4458HG",0.50888925828217,0.463526662787398,0.039276247623083,-0.974576355894121,0.974576355894121
"MIR4435-2HG",0.269422899219418,0.400576588493774,0.0240069633804458,-1.89205561904518,1.89205561904518
"MIR1244-3",0.152748563289494,0.321974930660124,0.0104625516033933,-2.71076928436787,2.71076928436787
"MIR650",5.71770721376661,0.125378304361289,0.000443767928236638,2.51543674587637,2.51543674587637
